site_name,url,title,date,facebook_total,facebook_likes,facebook_shares,facebook_comments
Straits Times,https://www.straitstimes.com/singapore/3-year-old-girl-with-virus-still-in-hospital-after-29-days,3-year-old girl with virus still in hospital after 29 days,22/4/20,22630,15968,4600,2062
Straits Times,https://www.straitstimes.com/asia/se-asia/ghosts-scare-indonesians-indoors-and-away-from-coronavirus,'Ghosts' scare Indonesians indoors and away from coronavirus,13/4/20,22541,15575,4234,2732
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-govt-will-no-longer-discourage-wearing-of-masks-to-give-reusable-masks,"Coronavirus: Singapore Govt will no longer discourage wearing of masks, to give reusable masks to all households",3/4/20,22144,13223,5330,3591
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-more-will-die-if-people-here-keep-flouting-circuit-breaker-measures,"Coronavirus: More will die in S'pore if people keep flouting circuit breaker measures, says NCID",13/4/20,22078,12252,6254,3572
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-community-imported-workers-moh-sep-15-13111478,"Singapore reports 34 new COVID-19 cases, including 6 imported",15/9/20,4227,3239,495,493
Straits Times,https://www.straitstimes.com/singapore/49-new-coronavirus-cases-three-new-clusters-at-mustafa-centre-maxwell-station-worksite-and,"49 new coronavirus cases in S'pore; 3 new clusters at Mustafa Centre, Maxwell station worksite and Keppel Shipyard",2/4/20,21380,12335,5952,3093
Straits Times,https://www.straitstimes.com/singapore/coronavirus-all-shoppers-must-wear-masks-in-supermarkets-and-malls-or-be-denied-entry,"Coronavirus: All shoppers must wear masks in supermarkets and malls, or be denied entry",11/4/20,21256,12821,5991,2444
Straits Times,https://www.straitstimes.com/singapore/work-permit-and-s-pass-holders-in-construction-sector-will-serve-14-day-stay-home-notice,Coronavirus: Work permit and S Pass holders in construction sector will serve 14-day stay-home notice from Monday,18/4/20,20462,13609,4091,2762
Straits Times,https://www.straitstimes.com/singapore/hackers-hijack-home-based-lessons-on-zoom-to-allegedly-show-obscene-photos-to-children,Coronavirus: Hackers hijack Singapore home-based lessons on Zoom to allegedly show obscene photos to children,9/4/20,20275,9315,6997,3963
Straits Times,https://www.straitstimes.com/singapore/coronavirus-june-school-holidays-to-start-from-may-5-to-cover-extended-circuit-breaker,"Coronavirus: June school holidays to start from May 5 to cover extended circuit breaker period, says Ong Ye Kung",21/4/20,19282,10353,6565,2364
Straits Times,https://www.straitstimes.com/singapore/coronavirus-rise-in-domestic-abuse-cases-as-families-forced-to-stay-home,Coronavirus: Rise in domestic abuse cases as families forced to stay home,9/4/20,19197,11666,5552,1979
Straits Times,https://www.straitstimes.com/singapore/coronavirus-delivery-riders-cabbies-can-eat-at-void-decks-parks-if-they-cant-head-home,"Coronavirus: Delivery riders, cabbies can eat at void decks, parks if they can't head home",12/4/20,18009,11337,4623,2049
Straits Times,https://www.straitstimes.com/singapore/coronavirus-no-ite-poly-graduation-ceremonies-for-2020-graduating-cohort,"Coronavirus: No ITE, poly graduation ceremonies for 2020 graduating cohort",6/4/20,15465,7938,5140,2387
Straits Times,https://www.straitstimes.com/singapore/manpower/coronavirus-work-pass-holder-banned-from-working-in-spore-39-foreign-workers,"Coronavirus: Work pass holder banned from working in S'pore, 39 foreign workers fined for breaching rules",12/4/20,15047,9707,3792,1548
Straits Times,https://www.straitstimes.com/singapore/singapore-flag-projected-on-matterhorn-in-show-of-solidarity-during-coronavirus,Singapore flag projected on Matterhorn in show of solidarity during coronavirus,24/4/20,14983,13086,1532,365
Straits Times,https://www.straitstimes.com/asia/se-asia/coronavirus-malaysia-extends-movement-curbs-by-another-two-weeks-to-april-28,Coronavirus: Malaysia extends movement curbs by another two weeks to April 28,10/4/20,14417,8193,4370,1856
Straits Times,https://www.straitstimes.com/singapore/singapore-reports-65-new-coronavirus-cases-with-3-new-clusters-at-ce-la-vi-singapore,"Singapore reports 65 new coronavirus cases with 3 new clusters at Ce La Vi, Singapore Cricket Club and Project Glory construction site",3/4/20,13432,7748,4144,1540
Straits Times,https://www.straitstimes.com/asia/se-asia/coronavirus-malaysians-in-singapore-not-allowed-to-return-for-now-says-minister,"Coronavirus: Malaysians in Singapore not allowed to return for now, says minister",6/4/20,13362,7168,3453,2741
Straits Times,https://www.straitstimes.com/singapore/all-19-polyclinics-and-some-gps-can-now-perform-coronavirus-swab-test,All 19 polyclinics and some GPs can now perform coronavirus swab test,9/4/20,13165,7921,4285,959
Straits Times,https://www.straitstimes.com/singapore/health/up-to-70-of-those-infected-may-show-no-symptoms-making-virus-tough-to-tackle,"Up to 70% of those infected may show no symptoms, making virus tough to tackle",14/4/20,12994,8008,3487,1499
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-community-imported-workers-moh-sep-14-13108142,"Singapore reports 48 new COVID-19 cases, including 5 imported infections",14/9/20,3790,3047,481,262
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-patient-86-fifth-to-die-from-infection-here,"86-year-old woman dies of coronavirus, 5th such death in Singapore ",3/4/20,12793,8568,3050,1176
Straits Times,https://www.straitstimes.com/singapore/coronavirus-all-beaches-in-singapore-closed-to-public-as-circuit-breaker-measures,Coronavirus: All beaches in Singapore closed to public as circuit breaker measures tightened,11/4/20,12774,7699,2846,2229
Straits Times,https://www.straitstimes.com/business/companies-markets/coronavirus-clothes-retailer-esprit-to-close-56-stores-in-asia-outside,"Coronavirus: Clothes retailer Esprit to close 56 stores in Asia outside China, including Singapore",28/4/20,11428,7535,2389,1504
Straits Times,https://www.straitstimes.com/singapore/many-more-virus-cases-detected-in-dorms-as-moh-steps-up-testing,Many more virus cases detected in dorms as MOH steps up testing,21/4/20,10636,7367,2037,1232
Channel News Asia,https://www.channelnewsasia.com/news/cnainsider/tired-staff-pushing-on-how-ttsh-ncid-responded-covid-19-day-one-13106408,"Tired staff, but pushing on: How TTSH-NCID responded to COVID-19 from day one",13/9/20,7773,6274,950,549
Straits Times,https://www.straitstimes.com/asia/se-asia/indonesia-ranks-among-worlds-worst-in-coronavirus-testing-rate-together-with-ethiopia,"Indonesia ranks among world's worst in coronavirus testing rate, together with Ethiopia, Bangladesh",6/4/20,9996,6129,2186,1681
Straits Times,https://www.straitstimes.com/lifestyle/battling-pandemic-fatigue-some-feel-burned-out-as-the-covid-19-outbreak-drags-on-with-no,Battling pandemic fatigue: Some feel burned out as the Covid-19 outbreak drags on with no end in sight,13/9/20,6497,4081,1596,820
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-community-imported-workers-moh-sep-13-13106726,"49 new COVID-19 cases in Singapore, including 1 in the community and 8 imported",13/9/20,4889,3756,535,598
Straits Times,https://www.straitstimes.com/singapore/transport/coronavirus-changi-airport-t2-proceeds-with-plans-to-suspend-operations-from-may,Coronavirus: Changi Airport T2 proceeds with plans to suspend operations from May 1,30/4/20,9765,6700,2233,832
Straits Times,https://www.straitstimes.com/singapore/coronavirus-rules-changed-to-allow-people-to-display-national-flag-from-now-until-sept-30,Coronavirus: Rules changed to allow people to display Singapore flag from now until Sept 30,25/4/20,9684,6247,1847,1590
Straits Times,https://www.straitstimes.com/singapore/coronavirus-9-in-10-singaporeans-to-receive-600-each-on-april-14,Coronavirus: 9 in 10 Singaporeans to receive $600 each on April 14,12/4/20,9591,5347,2660,1584
Straits Times,https://www.straitstimes.com/asia/se-asia/coronavirus-with-tourists-gone-wildlife-makes-a-comeback-in-thailand,"Coronavirus: With tourists gone, wildlife makes a comeback in Thailand",24/4/20,9551,8088,1099,364
Straits Times,https://www.straitstimes.com/asia/se-asia/malaysian-govt-urged-to-track-coronavirus-spread-among-illegal-foreign-workers,Malaysian govt urged to track coronavirus spread among illegal foreign workers,20/4/20,9281,6847,1684,750
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-community-imported-workers-moh-sep-12-13104692,"42 new COVID-19 cases in Singapore, including 4 community infections",12/9/20,4807,3738,616,453
Straits Times,https://www.straitstimes.com/singapore/health/3000-healthcare-professionals-volunteer-to-help-in-virus-battle,"3,000 healthcare professionals volunteer to help in virus battle",29/4/20,8750,6665,1357,728
Straits Times,https://www.straitstimes.com/singapore/coronavirus-residents-urged-to-stay-home-and-comply-with-circuit-breaker-measures,Coronavirus: Residents urged to stay home and comply with 'circuit breaker' measures,5/4/20,8496,5092,2173,1231
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-new-study-finds-at-least-10-patients-in-singapore-caught-virus-from,Coronavirus: New study finds at least 10 patients in Singapore caught virus from those without symptoms,2/4/20,8137,3967,2869,1301
Straits Times,https://www.straitstimes.com/singapore/coronavirus-close-to-700-foreign-workers-housed-at-home-team-academy-civil-defence-academy,"Coronavirus: Close to 700 foreign workers housed at Home Team Academy, Civil Defence Academy",16/4/20,8124,4737,2114,1273
Straits Times,https://www.straitstimes.com/singapore/transport/sia-looks-to-launch-flights-to-nowhere-by-end-october-to-mitigate-covid-19,SIA looks to launch 'flights to nowhere' by end October to mitigate Covid-19 fallout,11/9/20,18862,10706,3121,5037
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-community-imported-dormitory-moh-sep-11-13100982,"87 new COVID-19 cases in Singapore, including 14 imported infections",11/9/20,3189,2301,488,400
Channel News Asia,https://www.channelnewsasia.com/news/singapore/singapore-airlines-group-cuts-jobs-retrenchment-covid-19-13098824,"Singapore Airlines Group to cut about 4,300 jobs as COVID-19 batters aviation industry",10/9/20,10436,7556,1639,1243
Straits Times,https://www.straitstimes.com/singapore/sia-announces-job-cuts-for-pilots-cabin-crew-as-business-battered-by-covid-19,"SIA announces job cuts for pilots, cabin crew and other staff amid Covid-19 fallout; 2,400 affected",10/9/20,5851,3633,1426,792
Straits Times,https://www.straitstimes.com/singapore/courts-crime/woman-who-sneezed-on-security-guard-amid-covid-19-outbreak-sentenced-to-11,Woman who sneezed on security guard amid Covid-19 outbreak sentenced to 11 weeks in jail,10/9/20,4291,2850,558,883
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-community-imported-moh-sep-10-13097438,"Singapore reports 63 new COVID-19 cases, including 2 in the community",10/9/20,3507,2654,477,376
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-hawkers-can-eat-at-table-directly-in-front-of-stall-but-must-do-so,"Coronavirus: Hawkers can eat at table directly in front of stall but must do so alone, says NEA",10/4/20,7202,4148,2170,884
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-next-few-days-will-determine-whether-circuit-breaker-can-be-eased-by,"Coronavirus: Next few days will determine whether circuit breaker can be eased by May 4, say experts",20/4/20,7089,2845,3203,1041
Today Online,https://www.todayonline.com/singapore/singapores-hooligan-cook-offers-free-meals-needy-during-virus-lockdown,Singapore's 'hooligan cook' offers free meals for needy during virus lockdown,29/4/20,7023,5478,946,599
Straits Times,https://www.straitstimes.com/sport/coronavirus-public-swimming-pools-golf-country-clubs-gyms-fitness-studios-to-close-for-a-month,"Coronavirus: Public swimming pools, country clubs, gyms, fitness studios to close for a month",3/4/20,6955,3450,2234,1271
Straits Times,https://www.straitstimes.com/singapore/coronavirus-basic-military-training-to-be-suspended-for-a-month-recruits-to-stay-home,Coronavirus: Basic military training to be suspended for a month; recruits to stay home,6/4/20,6895,3903,1430,1562
The Online Citizen,https://www.theonlinecitizen.com/2020/04/23/s11-with-more-than-2k-coronavirus-cases-won-dormitory-award-and-generates-70m-from-its-2-dorms,S11 with more than 2K coronavirus cases won Dormitory Award and generates $70m from its 2 dorms,23/4/20,6795,3951,1314,1530
Straits Times,https://www.straitstimes.com/singapore/coronavirus-699-singapore-citizens-residents-evacuated-from-india,"Coronavirus: 699 Singapore citizens, residents evacuated from India",11/4/20,6740,3740,1193,1810
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-experts-say-big-jump-in-infections-is-stretching-the-healthcare-system,Coronavirus: Experts say big jump in infections is stretching the healthcare system,17/4/20,6624,3950,1595,1079
Straits Times,https://www.straitstimes.com/singapore/coronavirus-21-vacant-hdb-blocks-in-bukit-merah-being-refurbished-to-house-essential,Coronavirus: 21 vacant HDB blocks in Bukit Merah being refurbished to house essential foreign workers,8/4/20,6581,4398,1272,911
Straits Times,https://www.straitstimes.com/singapore/coronavirus-many-seniors-still-shop-for-groceries-at-markets-despite-pm-lee-urging-them-to,Coronavirus: Many seniors still shop for groceries at markets despite PM Lee urging them to stay home,11/4/20,6481,3750,1111,1620
Straits Times,https://www.straitstimes.com/singapore/transport/coronavirus-singapore-airlines-extends-cancellation-of-96-per-cent-of-flights,Coronavirus: Singapore Airlines extends cancellation of 96 per cent of flights till end-June,25/4/20,6362,4277,1165,920
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-nursing-homes-step-up-measures-to-protect-residents,Coronavirus: Nursing homes step up measures to protect residents,1/4/20,6210,4148,1533,529
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-various-allied-health-services-including-psychology-and-social-work,"Coronavirus: Various allied health services, including psychology and social work, reclassified as essential",28/4/20,6123,4280,1366,477
Straits Times,https://www.straitstimes.com/singapore/coronavirus-business-as-usual-on-sunday-at-northpoint-first-major-mall-to-be-identified-as,"Coronavirus: Business as usual on Sunday at Northpoint, first major mall to be identified as a cluster",26/4/20,6051,3282,1752,1017
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-singapore-new-cases-community-imported-moh-sep-9-13093760,"75 new COVID-19 cases in Singapore, including 1 community infection",9/9/20,3852,2929,542,383
Straits Times,https://www.straitstimes.com/singapore/no-gathering-is-harmless-while-virus-lurks,No gathering is harmless while virus lurks,10/4/20,5980,3290,1798,892
Straits Times,https://www.straitstimes.com/singapore/courts-crime/man-fined-1500-for-leaving-home-about-30-minutes-before-coronavirus,"Man fined $1,500 for leaving home about 30 minutes before coronavirus quarantine ended",29/4/20,5950,3776,1092,1082
Straits Times,https://www.straitstimes.com/singapore/coronavirus-some-homeowners-will-live-in-half-renovated-flats-with-renovation-delays,Coronavirus: Some homeowners will live in half-renovated flats amid renovation delays,16/4/20,5857,3720,1403,734
Straits Times,https://www.straitstimes.com/asia/se-asia/malaysia-man-walks-120km-home-after-returning-from-japan-to-avoid-infecting-anyone-with,Malaysian man walks 120km home after returning from Japan to avoid infecting anyone with coronavirus,8/4/20,5722,4434,818,470
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-tampines-dormitory-is-fifth-dormitory-to-be-gazetted-as-isolation-area,Coronavirus: Tampines Dormitory is fifth dormitory to be gazetted as isolation area,10/4/20,5693,3801,1215,677
Straits Times,https://www.straitstimes.com/asia/se-asia/coronavirus-rice-atm-feeds-vietnams-poor-amid-virus-lockdown,Coronavirus: 'Rice ATM' feeds Vietnam's poor amid lockdown,13/4/20,5594,4686,718,190
Straits Times,https://www.straitstimes.com/singapore/coronavirus-fairprice-to-limit-number-of-people-in-its-stores-and-urge-shoppers-to-wear,Coronavirus: FairPrice to limit number of people in its stores and urge shoppers to wear masks,9/4/20,5505,3690,1281,534
Straits Times,https://www.straitstimes.com/singapore/long-queues-at-markets-on-sunday-more-than-240-fined-for-not-safely-distancing-masagos,"Coronavirus: Long queues at markets on Sunday; over 240 fined for flouting safe distancing rules, says Masagos",19/4/20,5416,3517,1094,805
Straits Times,https://www.straitstimes.com/singapore/coronavirus-most-try-to-toe-the-line-but-crowds-still-seen-in-supermarkets-at-parks-and,"Coronavirus: Most try to toe the line, but crowds still seen in supermarkets, at parks and beaches in Singapore",10/4/20,5177,2637,930,1610
Straits Times,https://www.straitstimes.com/singapore/health/duke-nus-scientists-develop-speedy-test-for-antibodies-that-can-neutralise,Duke-NUS scientists develop speedy test for antibodies that can neutralise coronavirus,30/4/20,5161,3823,1141,197
The Online Citizen,https://www.theonlinecitizen.com/2020/04/17/in-reality-the-foreign-workers-should-be-blaming-us-for-the-corona-virus,"In reality, the foreign workers should be blaming us for the corona virus",17/4/20,5082,3134,1339,609
Straits Times,https://www.straitstimes.com/singapore/coronavirus-all-public-libraries-to-close-from-tuesday-till-may-4,Coronavirus: All public libraries to close from April 7 till May 4,4/4/20,5073,3007,1441,625
Straits Times,https://www.straitstimes.com/singapore/coronavirus-cruise-ships-assessed-for-feasibility-to-temporarily-house-healthy-foreign,Coronavirus: Cruise ships assessed for feasibility to temporarily house healthy foreign workers,17/4/20,5021,3130,996,895
Channel News Asia,https://www.channelnewsasia.com/news/world/covid-19-coronavirus-sunlight-heat-humidity-united-states-12672372,"Sunlight, heat and humidity weaken coronavirus, US official says",24/4/20,5014,2940,863,1211
Straits Times,https://www.straitstimes.com/singapore/coronavirus-pm-lee-warns-that-circuit-breaker-measures-will-be-strictly-enforced-still-too,Coronavirus: PM Lee warns that circuit breaker measures will be strictly enforced; still too many gatherings taking place,9/4/20,4942,2708,1309,925
Straits Times,https://www.straitstimes.com/asia/se-asia/coronavirus-malaysian-workers-returning-from-singapore-cannot-self-quarantine-anymore,Coronavirus: Malaysian workers returning from Singapore cannot self-quarantine anymore,24/4/20,4930,3092,1337,502
Straits Times,https://www.straitstimes.com/singapore/transport/coronavirus-comfortdelgro-starts-food-delivery-service-to-help-cabbies-earn,Coronavirus: ComfortDelGro starts food delivery service to help cabbies earn extra income,29/4/20,4901,3797,700,404
Mothership,https://mothership.sg/2020/09/singaporean-living-arctic,26-year-old S'porean living in the Arctic feels it's the safest place from Covid-19 pandemic,8/9/20,4618,3465,740,413
Straits Times,https://www.straitstimes.com/singapore/manpower/coronavirus-pass-on-jobs-support-to-workers-or-lose-future-payouts-mom-warns,"Coronavirus: Pass on jobs support to workers or lose future payouts, MOM warns employers",23/4/20,4843,2661,1672,510
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-singapore-airshow-grounds-converted-to-isolation-facility,Coronavirus: Singapore Airshow grounds converted to isolation facility,26/4/20,4742,3789,683,270
Straits Times,https://www.straitstimes.com/singapore/transport/coronavirus-safe-distancing-measures-to-be-rolled-out-across-public-transport,Coronavirus: Safe-distancing measures to be rolled out across public transport network,9/4/20,4721,2796,1478,448
Straits Times,https://www.straitstimes.com/singapore/coronavirus-more-ncid-patients-being-placed-in-prone-position-to-help-them-breathe-better,Coronavirus: More NCID patients being placed in prone position to help them breathe better,24/4/20,4406,3122,975,309
Straits Times,https://www.straitstimes.com/singapore/coronavirus-empty-trains-and-quiet-streets-as-singapore-enters-day-1-of-circuit-breaker,Coronavirus: Empty trains and quiet streets as Singapore enters Day 1 of circuit-breaker mode,7/4/20,4238,2686,792,760
Straits Times,https://www.straitstimes.com/singapore/coronavirus-workers-ferried-in-back-of-lorries-must-sit-with-1m-safe-distance-say-mom-lta,"Coronavirus: Workers ferried in back of lorries must sit with 1m safe distance, say MOM, LTA",10/4/20,4182,2446,918,818
Straits Times,https://www.straitstimes.com/singapore/coronavirus-experts-warn-repeated-circuit-breakers-may-be-needed-until-vaccine-is,Coronavirus: Experts warn repeated circuit breakers may be needed until vaccine is developed,14/4/20,4182,2284,1304,594
Straits Times,https://www.straitstimes.com/singapore/health/at-least-8-cases-of-virus-among-staff-at-public-healthcare-institutions,At least 8 cases of virus among staff at public healthcare institutions,3/4/20,4128,2745,1139,244
Straits Times,https://www.straitstimes.com/singapore/coronavirus-ground-efforts-see-13-million-masks-donated-over-850k-raised-for-migrant,"Coronavirus: Ground efforts see 1.3 million masks donated, over $850k raised for migrant workers",19/4/20,4097,3386,422,289
Straits Times,https://www.straitstimes.com/singapore/coronavirus-workers-who-prepare-or-sell-food-and-drinks-must-wear-masks-or-face-penalties,"Coronavirus: Workers who prepare or sell food and drinks must wear masks or face penalties, says SFA",11/4/20,4045,2730,930,385
Straits Times,https://www.straitstimes.com/sport/coronavirus-mask-exception-to-allow-people-to-keep-fit-sparks-debate,Coronavirus: Mask exception to allow people to keep fit sparks debate,16/4/20,4022,1765,637,1620
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-cases-singapore-community-imported-moh-sep-7-13087752,"22 new COVID-19 infections in Singapore, including one community case",7/9/20,8073,6571,944,558
Channel News Asia,https://www.channelnewsasia.com/news/singapore/shopping-malls-places-visited-covid-19-infectious-13089668,"Seven shopping malls, ICA Building added to list of places visited by COVID-19 community cases while infectious",7/9/20,3164,2513,445,206
Straits Times,https://www.straitstimes.com/singapore/education/coronavirus-smu-uses-artificial-intelligence-to-deter-cheating-in-online-exams,Coronavirus: SMU uses artificial intelligence to deter cheating in online exams,23/4/20,3951,2248,1069,634
Straits Times,https://www.straitstimes.com/business/companies-markets/coronavirus-dbs-singtel-rally-to-help-frontline-workers-and-vulnerable,"Coronavirus: DBS, Singtel rally to help front-line workers and vulnerable groups",16/4/20,3904,3396,398,110
Straits Times,https://www.straitstimes.com/singapore/health/22-new-covid-19-cases-in-singapore-including-1-in-the-community-and-3-imported,"22 new Covid-19 cases in Singapore, lowest daily figure in more than 5 months",7/9/20,3091,2301,522,268
Straits Times,https://www.straitstimes.com/singapore/coronavirus-food-firm-founded-by-billionaire-kishin-rk-sets-up-foundation-to-provide-free,Coronavirus: Food firm founded by billionaire Kishin RK sets up foundation to provide free food to those in need,23/4/20,3857,3122,521,214
Straits Times,https://www.straitstimes.com/singapore/coronavirus-food-handlers-may-soon-have-to-wear-spit-guards-or-masks,Coronavirus: Food handlers may soon have to wear spit guards or masks,2/4/20,3808,2324,674,810
Straits Times,https://www.straitstimes.com/singapore/coronavirus-new-30m-grant-launched-to-speed-up-local-production-of-eggs-vegetables-and,"Coronavirus: New $30m grant launched to speed up local production of eggs, vegetables and fish",8/4/20,3773,2659,695,419
Straits Times,https://www.straitstimes.com/business/companies-markets/virgin-australia-collapses-as-coronavirus-wipes-out-global-air-travel,Virgin Australia collapses as coronavirus wipes out global air travel,21/4/20,3734,2470,866,398
Straits Times,https://www.straitstimes.com/sport/coronavirus-sports-hubs-ocbc-arena-selected-activesg-indoor-halls-to-house-foreign-workers,"Coronavirus: Sports Hub's OCBC Arena, selected ActiveSG indoor halls to house foreign workers",17/4/20,3710,2475,921,314
Straits Times,https://www.straitstimes.com/singapore/transport/coronavirus-1-year-ban-for-food-delivery-riders-who-flout-safe-distancing-rules,Coronavirus: 1-year ban for food delivery riders who flout safe distancing rules,15/4/20,3683,2090,1299,294
Straits Times,https://www.straitstimes.com/singapore/9-in-10-coronavirus-patients-housed-in-isolation-facilities,9 in 10 coronavirus patients housed in isolation facilities,25/4/20,3682,2689,622,374
Straits Times,https://www.straitstimes.com/singapore/coronavirus-students-from-low-income-households-to-receive-free-meals-during-circuit,"Coronavirus: 12,000 students from low-income households to receive meal vouchers during circuit breaker period",14/4/20,3642,2903,610,129
Straits Times,https://www.straitstimes.com/politics/coming-days-critical-in-fight-against-coronavirus-pm-lee,Coming days critical in fight against coronavirus: PM Lee,18/4/20,3640,2232,796,612
Straits Times,https://www.straitstimes.com/politics/employers-in-all-sectors-to-get-75-wage-subsidy-for-local-employees-in-april-dpm-heng,All firms to get 75% wage subsidy for local employees in April to help tide over coronavirus crisis: DPM Heng,6/4/20,3607,2266,990,351
Straits Times,https://www.straitstimes.com/asia/se-asia/indonesia-to-ban-air-sea-travel-to-early-june-amid-coronavirus-pandemic,"Indonesia to ban air, sea travel till early June amid coronavirus pandemic",23/4/20,3596,2469,692,435
Straits Times,https://www.straitstimes.com/asia/se-asia/coronavirus-malaysia-pm-muhyiddin-says-to-extend-movement-curbs-by-two-weeks-to-may-12,Coronavirus:  PM Muhyiddin extends Malaysia's movement curbs by two weeks to May 12,23/4/20,3576,2142,980,454
Straits Times,https://www.straitstimes.com/business/companies-markets/sheng-siongs-lim-family-join-ranks-of-supermarket-billionaires-in,Sheng Siong's Lim family joins ranks of supermarket billionaires amid coronavirus pandemic,16/4/20,3572,2428,759,385
Straits Times,https://www.straitstimes.com/singapore/coronavirus-2-floating-accommodation-at-tanjong-pagar-terminal-to-house-foreign-workers,Coronavirus: 2 floating accommodation at Tanjong Pagar Terminal to house foreign workers,12/4/20,3571,2324,693,554
Straits Times,https://www.straitstimes.com/singapore/coronavirus-diamond-hdb-blocks-in-taman-jurong-to-house-foreign-workers-in-essential,Coronavirus: Diamond HDB blocks in Taman Jurong to house foreign workers in essential services,17/4/20,3435,1813,805,817
Straits Times,https://www.straitstimes.com/singapore/coronavirus-nea-begins-enforcement-of-safe-distancing-at-all-hawker-centres,Coronavirus: NEA begins enforcement of safe distancing at all hawker centres,5/4/20,3407,2079,964,364
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-moh-sep-6-cases-imported-community-total-13086094,"Singapore reports 40 new COVID-19 infections, including 13 imported cases",6/9/20,4250,3122,562,566
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-clusters-cochrane-lodge-1-mandai-lodge-1-tuas-south-13085420,New COVID-19 clusters reported at 3 dormitories previously cleared of the disease,6/9/20,3083,2125,487,471
Straits Times,https://www.straitstimes.com/singapore/coronavirus-mcdonalds-to-temporarily-stop-takeaway-service-but-deliveries-will-continue,Coronavirus: McDonald's to temporarily stop takeaway service but deliveries will continue,17/4/20,3349,1946,876,527
Straits Times,https://www.straitstimes.com/singapore/health/singapore-midway-through-critical-stage-in-fight-against-virus,Singapore midway through critical stage in fight against virus,3/4/20,3330,1741,782,807
Straits Times,https://www.straitstimes.com/singapore/coronavirus-4500-bedding-items-shipped-to-singapore-from-indonesia-for-community-isolation,"Coronavirus: 4,500 bedding items shipped to Singapore from Indonesia for community isolation facilities",22/4/20,3290,2694,311,285
Straits Times,https://www.straitstimes.com/singapore/coronavirus-shoppers-at-fairprice-supermarkets-must-scan-nric-for-entry,Coronavirus: Shoppers at FairPrice supermarkets must scan NRIC for entry,30/4/20,3281,1692,1093,496
Straits Times,https://www.straitstimes.com/asia/se-asia/coronavirus-thailand-to-announce-nationwide-curfew-starting-friday,Coronavirus: Thailand to announce nationwide curfew starting Friday,2/4/20,3263,2139,895,229
Straits Times,https://www.straitstimes.com/singapore/ura-launches-website-to-help-shoppers-check-crowd-levels-at-malls,Coronavirus: URA launches website to help shoppers out to buy essentials check crowd levels at malls,5/4/20,3197,1757,1297,143
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-customers-visiting-bank-branches-must-wear-face-masks-to-gain-entry,Coronavirus: Customers visiting bank branches must wear face masks to gain entry,14/4/20,3156,1846,812,498
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-moh-sep-5-cases-imported-community-total-13084520,"Singapore reports 34 new COVID-19 infections, including 3 in the community",5/9/20,4193,3338,591,264
Straits Times,https://www.straitstimes.com/business/economy/singapore-non-oil-exports-defy-coronavirus-disruption-to-surge-176-in-march,Singapore non-oil exports defy coronavirus disruption to surge 17.6% in March,17/4/20,3101,2597,318,186
Straits Times,https://www.straitstimes.com/asia/se-asia/coronavirus-malaysia-records-54-new-cases-third-time-this-week-of-only-double-digit,"Coronavirus: Malaysia records 54 new cases, third time this week of only double-digit cases",18/4/20,3081,2210,203,668
Straits Times,https://www.straitstimes.com/asia/se-asia/coronavirus-malaysia-reports-85-new-cases-lowest-daily-rise-since-controls,"Coronavirus: Malaysia reports 85 new cases, lowest daily rise since controls",15/4/20,3046,2337,269,440
Straits Times,https://www.straitstimes.com/singapore/coronavirus-129stop-work-orders-issued-to-companies-not-implementing-safe-distancing-at,Coronavirus: 129 stop-work orders issued to companies not implementing safe distancing at workplace,2/4/20,3029,1699,1043,287
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-sep-4-community-imported-moh-13081190,"Singapore reports 40 new COVID-19 cases, including 3 imported infections",4/9/20,4239,3335,556,348
Yahoo Singapore,https://sg.news.yahoo.com/non-singaporean-arrivals-from-india-accounted-for-63-of-imported-covid-19-cases-from-april-august-162829597.html,Non-Singaporean arrivals from India accounted for 63% of imported COVID-19 cases between Apr-Aug,4/9/20,4058,2484,673,901
