site_name,url,title,date,facebook_total,facebook_likes,facebook_shares,facebook_comments
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-coronavirus-confirmed-in-spore-130424302.html,Wuhan coronavirus outbreak: 1st case confirmed in Singapore,23/1/20,6257,4286,1023,948
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-increased-border-checks-compulsory-leave-measures-12353448,"Wuhan virus: Increased border checks, leave of absence among new counter-measures",27/1/20,6152,3742,1228,1183
Straits Times,https://www.straitstimes.com/singapore/health/wuhan-virus-university-students-move-out-of-campus-residences-designated-as,Wuhan virus: University students move out of campus residences designated as quarantine centres,27/1/20,6101,3784,1655,662
The Online Citizen,https://www.theonlinecitizen.com/2020/01/24/video-showing-chinese-woman-eating-bat-at-restaurant-goes-viral-as-the-world-combats-wuhan-virus,Video showing Chinese woman eating bat at restaurant goes viral as the world combats Wuhan virus,24/1/20,6005,2965,1300,1740
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-has-done-well-in-handling-situation-pm-lee-12373344,"Singapore has 'done well' in handling Wuhan coronavirus situation, but must remain vigilant: PM Lee",31/1/20,5824,4193,822,809
Channel News Asia,https://www.channelnewsasia.com/news/business/wuhan-virus-singapore-economy-tourism-impact-concern-12357930,Wuhan virus expected to impact Singapore’s economy: Chan Chun Sing,27/1/20,5759,3856,636,1267
Today Online,https://www.todayonline.com/singapore/govt-distribute-masks-all-137-million-singaporean-households-amid-wuhan-virus-outbreak,Govt to distribute masks to all 1.37 million Singaporean households amid Wuhan virus outbreak,30/1/20,5458,3114,995,1350
Today Online,https://www.todayonline.com/singapore/sporeans-must-be-prepared-wuhan-virus-spread-community-pm-lee,S’poreans must be prepared for Wuhan virus to spread in the community: PM Lee ,28/1/20,5381,2796,954,1631
Straits Times,https://www.straitstimes.com/singapore/health/no-more-overnight-stay-for-sia-pilots-and-cabin-crew-on-flights-to-beijing-and,"Wuhan virus: No more overnight stay for SIA pilots and cabin crew on flights to Beijing, Shanghai",29/1/20,5355,3642,964,749
Today Online,https://www.todayonline.com/singapore/wuhan-virus-outbreak-singapore-confirms-3-more-cases-bringing-total-10,"Wuhan virus outbreak: Singapore confirms 3 more cases, bringing total to 10",29/1/20,5314,3216,1078,1020
Straits Times,https://www.straitstimes.com/singapore/3rd-suspected-wuhan-virus-case-detected-in-singapore-man-isolated-as-precaution,"3rd suspected Wuhan virus case detected in Singapore, man isolated as precaution",16/1/20,4966,2708,1822,436
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-confirmed-case-shangri-la-sentosa-12315970,"Wuhan virus patient's hotel room 'thoroughly disinfected', workers who cleaned room quarantined: Shangri-La Group",23/1/20,4497,2797,1166,536
Today Online,https://www.todayonline.com/singapore/patient-suspected-having-wuhan-virus-taken-eastpoint-mall-tan-tock-seng-hospital,Patient suspected of having Wuhan virus taken from Eastpoint Mall to Tan Tock Seng Hospital,24/1/20,4132,2169,1234,729
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-coronavirus-moe-implements-leave-for-students-staff-returning-from-mainland-china-034936954.html,"Wuhan coronavirus: MOE implements leave for students, staff returning from mainland China",26/1/20,3936,2567,748,621
Channel News Asia,https://www.channelnewsasia.com/news/singapore/singcert-malicious-emails-wuhan-coronavirus-12375664,Got an email about the Wuhan coronavirus? It could be a computer virus,31/1/20,3793,2040,1633,120
Today Online,https://www.todayonline.com/singapore/wuhan-virus-workers-students-returning-china-will-have-take-14-day-leave-absence,"Wuhan virus: Workers, students returning to Singapore from China will have to take mandated 14-day leave of absence",27/1/20,3611,1916,996,699
Straits Times,https://www.straitstimes.com/lifestyle/entertainment/wuhan-virus-andy-lau-cancels-all-his-12-concerts-in-hong-kong,Wuhan virus: Andy Lau cancels all his 12 concerts in Hong Kong,26/1/20,3416,2702,529,185
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-virus-singapore-imposes-travel-curbs-for-those-who-visited-hubei-in-last-14-days-081525529.html,Wuhan virus: Singapore imposes travel curbs for those who visited Hubei in last 14 days,28/1/20,3364,1965,770,629
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-ministerial-task-force-inevitable-12301610,"Singapore to form Wuhan virus ministerial task force, imported case 'inevitable': Gan Kim Yong",22/1/20,3344,2067,752,526
Today Online,https://www.todayonline.com/singapore/hoarding-panic-buying-will-destroy-singapores-system-fight-spread-wuhan-virus-chan-chun,"Hoarding, panic buying of masks will wreck Singapore's efforts to fight spread of Wuhan virus: Chan Chun Sing",30/1/20,3249,1915,431,903
Today Online,https://www.todayonline.com/singapore/wuhan-virus-singapore-confirms-2-more-imported-cases-hours-after-first-man-tested-positive,"Wuhan virus: Singapore confirms 2 more imported cases, day after first patient tested positive",24/1/20,3183,1774,902,507
Mothership,https://www.mothership.sg/2020/01/moh-new-case-wuhan,"MOH confirms 3 new cases of Wuhan virus, 10 cases in total, all 3 showed no symptoms during flight",29/1/20,3170,1633,788,752
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-coronavirus-outbreak-4th-case-confirmed-in-singapore-170043805.html,Wuhan coronavirus outbreak: 4th case confirmed in Singapore,25/1/20,3160,1688,716,756
Straits Times,https://www.straitstimes.com/lifestyle/entertainment/wuhan-outbreak-release-of-four-chinese-new-year-movies-in-singapore-cinemas,Wuhan virus: Release of 4 Chinese New Year movies in Singapore cinemas put on hold,23/1/20,3120,1708,953,459
Straits Times,https://www.straitstimes.com/lifestyle/entertainment/wuhan-virus-jj-lin-and-stefanie-sun-collaborate-on-song-to-pay-tribute-to,Wuhan virus: JJ Lin and Stefanie Sun collaborate on song to pay tribute to frontline staff,29/1/20,3120,2559,498,63
Straits Times,https://www.straitstimes.com/singapore/health/raffles-medical-investigates-photo-of-patients-nric-amid-claims-of-wuhan-virus-case,Raffles Medical investigates photo of patient's NRIC amid claims of Wuhan virus case at its clinic,28/1/20,3096,1268,1332,496
Yahoo Singapore,https://sg.news.yahoo.com/wuhan-virus-ica-to-implement-temperature-screening-at-tuas-woodlands-checkpoints-013033107.html,"Wuhan virus: ICA to implement temperature screening at Tuas, Woodlands checkpoints",23/1/20,3071,1943,839,289
Straits Times,https://www.straitstimes.com/singapore/coronavirus-outbreak-alert-upped-to-orange-as-more-cases-surface-with-no-known-links-more,Coronavirus: Singapore ups outbreak alert to Orange as more cases surface with no known links; more measures in force,7/2/20,84238,47920,18689,17632
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-dorscon-orange-singapore-risk-assessment-12405180,"Coronavirus outbreak: Singapore raises DORSCON level to orange; schools to suspend inter-school, external activities",7/2/20,69950,38783,15623,15544
Straits Times,https://www.straitstimes.com/singapore/coronavirus-spore-reports-first-cases-of-local-transmission-4-out-of-6-new-cases-did-not,Coronavirus: S'pore reports first cases of local transmission; 4 out of 6 new cases did not travel to China,4/2/20,52617,27089,15623,9906
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-dec-31-new-cases-imported-local-dormitory-moh-13870108,"30 new COVID-19 cases in Singapore include 5 community infections, highest number in 4 months",31/12/20,7439,4980,1496,964
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-4-more-confirmed-cases-in-singapore-28-cases-so-far,"Coronavirus: 4 more confirmed cases in Singapore, 28 cases so far",5/2/20,47021,29457,10242,7322
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-moh-new-cases-taxi-driver-private-hire-12411656,"7 new coronavirus cases in Singapore, including taxi and private-hire drivers",8/2/20,45717,27309,11183,7225
Channel News Asia,https://www.channelnewsasia.com/news/singapore/pm-lee-new-year-message-2020-covid-19-year-vaccines-13871864,"Despite ‘exceptionally testing’ COVID-19 year, Singapore can see light at the end of the tunnel: PM Lee",31/12/20,4712,3899,293,520
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-singapore-community-spread-tourists-12389314,4 locally transmitted cases among new coronavirus patients in Singapore,4/2/20,44235,23723,12681,7831
Straits Times,https://www.straitstimes.com/singapore/30-new-covid-19-cases-in-singapore-including-5-in-the-community,"30 new Covid-19 cases in Singapore, including 5 in the community",31/12/20,4594,2676,1105,813
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-3-new-cases-in-singapore-2-from-grace-assembly-of-god-church-1-from-dbs,"Coronavirus: 3 new cases in Singapore - 2 from Grace Assembly of God church, 1 from DBS",12/2/20,37753,22493,8107,7153
Straits Times,https://www.straitstimes.com/singapore/coronavirus-7-new-confirmed-cases-in-spore-possible-new-cluster-involving-church-in-paya,"Coronavirus: 7 new cases in Singapore, possible new cluster involving church in Paya Lebar",8/2/20,37348,22659,8273,6419
Straits Times,https://www.straitstimes.com/singapore/consumer/stb-probing-alleged-covid-19-breach-onboard-royal-caribbean-cruise,STB probing alleged Covid-19 breach onboard Royal Caribbean cruise,31/12/20,3793,2369,539,885
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-8-new-cases-in-singapore-including-5-more-linked-to-grace-assembly,"Coronavirus: 8 new cases in Singapore, including 5 more linked to Grace Assembly church, 1 linked to DBS case",13/2/20,33477,20695,6351,6431
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-singapore-confirms-two-more-cases-bringing-total-to-30,Coronavirus: Singapore confirms 2 new local cases; 1 appears to have no link to previous cases,6/2/20,32776,18557,8395,5824
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-9-new-cases-confirmed-in-singapore-6-of-these-linked-to-grace-assembly,Coronavirus: 9 new cases confirmed in Singapore with 6 linked to Grace Assembly church,14/2/20,31232,19151,6896,5185
Straits Times,https://www.straitstimes.com/singapore/coronavirus-524-people-under-quarantine-says-lawrence-wong,"Coronavirus: 524 people under quarantine in Singapore, says Lawrence Wong",3/2/20,30694,18226,7204,5266
Straits Times,https://www.straitstimes.com/singapore/coronavirus-300-evacuated-from-mbfc-tower-3-after-confirmed-case-at-dbs-asia-central,Coronavirus: 300 evacuated from MBFC Tower 3 after confirmed case at DBS Asia Central,12/2/20,29264,17661,6927,4676
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-2-new-cases-in-spore-including-man-who-works-at-rws-casino-2-more,Coronavirus: 2 new cases in S'pore including man who works at RWS casino; 2 more discharged bringing total recovered to 9,11/2/20,27888,15593,8185,4111
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-royal-caribbean-group-photo-stb-alleged-breach-13870754,STB looking into alleged COVID-19 safety breach by group of more than 10 on Royal Caribbean cruise,31/12/20,3115,2223,313,579
Straits Times,https://www.straitstimes.com/singapore/coronavirus-4-work-pass-holders-repatriated-and-6-employers-suspended-from-work-pass,"Coronavirus: Singapore bans 4 work pass holders, suspends privileges of 6 employers over leave of absence breach",9/2/20,27350,18246,6711,2396
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-new-initiative-gives-nurses-priority-queue-for-lunch,Coronavirus: New initiative gives nurses priority queue for lunch,14/2/20,27152,22971,2799,1383
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-singapore-number-cases-12395928,"Coronavirus outbreak: 6-month-old baby among 4 new cases in Singapore, 3 of them linked to local transmission cluster",5/2/20,25772,16538,6375,2859
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-no-new-cases-in-singapore-on-sunday-total-stays-at-89-while-two-are,"Coronavirus: No new cases in Singapore on Sunday; total stays at 89, while two are discharged",23/2/20,25462,19371,3325,2766
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-new-confirmed-cases-feb-9-12412622,"Coronavirus outbreak: 3 new cases confirmed in Singapore, 4 more discharged",9/2/20,24701,15492,5789,3420
Channel News Asia,https://www.channelnewsasia.com/news/singapore/novel-coronavirus-confirmed-cases-singapore-feb-11-12421724,"2 new coronavirus cases in Singapore, including second Bangladeshi worker and RWS casino employee",11/2/20,24270,14919,6333,3018
